:Data_list: ace_mag_1m.txt
:Created: 2014 Nov 25 0023 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2014 11 24  2223   56985   80580    0    -4.5     2.4     1.6     5.3    17.1   151.4
2014 11 24  2224   56985   80640    0    -3.1     4.1     1.5     5.4    16.2   127.5
2014 11 24  2225   56985   80700    0    -2.7     4.7     1.6     5.7    16.1   119.5
2014 11 24  2226   56985   80760    0    -2.5     4.4     2.5     5.6    26.4   119.1
2014 11 24  2227   56985   80820    0    -2.7     4.8     1.7     5.8    17.5   119.2
2014 11 24  2228   56985   80880    0    -3.2     4.5     0.9     5.6     9.4   125.3
2014 11 24  2229   56985   80940    0    -3.1     4.5     0.8     5.5     8.0   124.1
2014 11 24  2230   56985   81000    0    -3.6     4.3     1.5     5.8    14.8   130.0
2014 11 24  2231   56985   81060    0    -3.7     4.5     0.9     5.9     8.7   129.7
2014 11 24  2232   56985   81120    0    -4.2     4.1     0.4     5.9     3.4   135.7
2014 11 24  2233   56985   81180    0    -3.8     4.4     0.5     5.9     4.8   130.9
2014 11 24  2234   56985   81240    0    -4.7     3.7     0.6     6.0     5.6   141.8
2014 11 24  2235   56985   81300    0    -4.7     3.7     0.3     6.0     2.5   141.6
2014 11 24  2236   56985   81360    0    -4.5     4.0     0.2     6.0     1.5   138.2
2014 11 24  2237   56985   81420    0    -4.3     4.0     0.2     5.9     1.6   136.6
2014 11 24  2238   56985   81480    0    -3.7     4.4     0.4     5.8     4.2   129.8
2014 11 24  2239   56985   81540    0    -3.0     4.9     0.9     5.8     8.6   121.8
2014 11 24  2240   56985   81600    0    -3.2     4.8     0.9     5.8     8.5   123.6
2014 11 24  2241   56985   81660    0    -3.0     5.0     0.9     5.9     9.0   121.5
2014 11 24  2242   56985   81720    0    -3.6     4.7     0.3     5.9     2.9   127.5
2014 11 24  2243   56985   81780    0    -4.8     3.6    -1.0     6.1    -9.5   143.2
2014 11 24  2244   56985   81840    0    -4.6     3.8    -0.9     6.1    -8.8   140.6
2014 11 24  2245   56985   81900    0    -4.4     4.1    -0.7     6.1    -7.1   136.9
2014 11 24  2246   56985   81960    0    -4.4     4.1    -0.4     6.1    -3.3   136.7
2014 11 24  2247   56985   82020    0    -3.9     4.5    -0.4     6.0    -3.8   130.9
2014 11 24  2248   56985   82080    0    -3.7     4.7    -0.4     6.0    -3.4   128.0
2014 11 24  2249   56985   82140    0    -2.4     5.2    -0.2     5.8    -1.6   114.7
2014 11 24  2250   56985   82200    0    -1.5     5.6    -0.4     5.8    -4.0   105.2
2014 11 24  2251   56985   82260    0    -2.0     5.5    -0.5     5.8    -5.1   110.1
2014 11 24  2252   56985   82320    0    -2.1     5.5    -0.4     5.9    -3.9   110.5
2014 11 24  2253   56985   82380    0    -2.3     5.4    -0.6     5.9    -5.6   113.0
2014 11 24  2254   56985   82440    0    -5.3     3.0     0.2     6.1     1.9   150.2
2014 11 24  2255   56985   82500    0    -5.1     3.4     0.1     6.1     1.1   146.7
2014 11 24  2256   56985   82560    0    -5.1     3.1     0.4     6.0     4.2   148.9
2014 11 24  2257   56985   82620    0    -4.8     3.4     0.8     5.9     8.2   144.4
2014 11 24  2258   56985   82680    0    -4.9     3.2     1.1     5.9    11.1   146.7
2014 11 24  2259   56985   82740    0    -5.1     2.9     1.1     6.0    10.5   150.3
2014 11 24  2300   56985   82800    0    -5.1     2.9     0.4     5.9     3.8   150.1
2014 11 24  2301   56985   82860    0    -5.3     2.8     0.2     6.0     2.2   152.5
2014 11 24  2302   56985   82920    0    -5.1     3.0     1.0     6.0     9.2   149.9
2014 11 24  2303   56985   82980    0    -4.9     3.2     0.3     5.9     3.1   147.1
2014 11 24  2304   56985   83040    0    -5.1     3.2    -0.1     6.0    -0.8   147.6
2014 11 24  2305   56985   83100    0    -5.2     2.9    -0.4     6.0    -4.2   151.4
2014 11 24  2306   56985   83160    0    -5.2     3.0     0.1     6.0     0.7   150.0
2014 11 24  2307   56985   83220    0    -5.2     2.8     0.4     5.9     3.5   151.4
2014 11 24  2308   56985   83280    0    -5.5     2.4     0.7     6.0     6.8   156.2
2014 11 24  2309   56985   83340    0    -5.6     2.0     0.8     6.0     7.2   160.0
2014 11 24  2310   56985   83400    0    -5.6     2.0     0.8     6.0     7.7   160.1
2014 11 24  2311   56985   83460    0    -4.4     3.9    -0.0     5.9    -0.0   138.2
2014 11 24  2312   56985   83520    0    -4.7     3.5     0.1     5.9     1.0   143.7
2014 11 24  2313   56985   83580    0    -4.0     4.2     0.6     5.9     6.3   133.7
2014 11 24  2314   56985   83640    0    -3.2     5.0     0.3     5.9     2.4   123.1
2014 11 24  2315   56985   83700    0    -3.0     5.0     0.3     5.9     3.0   121.0
2014 11 24  2316   56985   83760    0    -3.1     5.0     0.4     5.9     3.8   121.6
2014 11 24  2317   56985   83820    0    -2.8     5.1     0.4     5.8     3.9   118.8
2014 11 24  2318   56985   83880    0    -3.0     4.9     0.4     5.8     4.1   121.8
2014 11 24  2319   56985   83940    0    -4.6     3.1     1.1     5.6    11.6   145.9
2014 11 24  2320   56985   84000    0    -5.5     1.4     1.4     5.8    13.9   165.9
2014 11 24  2321   56985   84060    0    -5.1     1.9     1.9     5.8    18.8   159.5
2014 11 24  2322   56985   84120    0    -5.0     2.0     1.8     5.7    18.5   158.2
2014 11 24  2323   56985   84180    0    -5.2     2.1     1.5     5.8    14.8   158.6
2014 11 24  2324   56985   84240    0    -5.6     1.4     1.0     5.9    10.2   165.7
2014 11 24  2325   56985   84300    0    -5.2     1.9     1.6     5.8    16.2   159.5
2014 11 24  2326   56985   84360    0    -5.2     1.5     1.7     5.6    17.7   164.2
2014 11 24  2327   56985   84420    0    -5.4     2.1     0.7     5.8     7.1   158.8
2014 11 24  2328   56985   84480    0    -5.1     2.4     1.2     5.7    11.7   155.0
2014 11 24  2329   56985   84540    0    -5.0     2.6     1.5     5.8    15.1   152.6
2014 11 24  2330   56985   84600    0    -5.0     2.9     0.6     5.8     5.7   149.8
2014 11 24  2331   56985   84660    0    -4.7     3.4     0.3     5.8     3.0   144.0
2014 11 24  2332   56985   84720    0    -4.5     3.7    -0.0     5.8    -0.3   141.0
